L2_LoginID,L2_Operator_Performance,L2_Operator_Performance_Count
33775,Bad,939
33775,Normal,72
33775,Excellent,41
33775,Good,23
33776,Bad,15291
33776,Excellent,1154
33776,Normal,1036
33776,Good,791
34243,Bad,7464
34243,Excellent,1597
34243,Good,672
34243,Normal,464
34246,Bad,13672
34246,Normal,915
34246,Excellent,330
34246,Good,269
35032,Bad,2585
35032,Normal,186
35032,Excellent,101
35032,Good,35
36547,Bad,10369
36547,Excellent,4750
36547,Good,971
36547,Normal,591
36548,Bad,11587
36548,Excellent,1749
36548,Normal,709
36548,Good,626
75204,Bad,8128
75204,Excellent,2241
75204,Good,873
75204,Normal,435
