L3_LoginID,L3_Operator_Performance,L3_Operator_Performance_Count
32878,Normal,1051
32878,Bad,55
32880,Good,3280
32880,Excellent,2397
32880,Normal,2159
32880,Bad,178
32883,Excellent,1990
32883,Good,1506
32883,Normal,915
32883,Bad,16
32887,Good,2769
32887,Excellent,2530
32887,Normal,1949
32887,Bad,187
32889,Excellent,1643
32889,Good,936
32889,Normal,241
32889,Bad,31
33326,Excellent,1575
33326,Good,1286
33326,Normal,369
33326,Bad,21
33644,Normal,279
33644,Good,244
33644,Excellent,102
33644,Bad,6
33646,Good,390
33646,Excellent,255
33646,Normal,141
33646,Bad,15
33647,Good,1531
33647,Excellent,781
33647,Normal,765
33647,Bad,85
33686,Good,728
33686,Normal,696
33686,Excellent,193
33686,Bad,19
33687,Good,856
33687,Excellent,727
33687,Normal,417
33687,Bad,8
33688,Good,1643
33688,Excellent,999
33688,Normal,687
33688,Bad,15
33769,Good,1084
33769,Normal,718
33769,Excellent,525
33769,Bad,60
33772,Good,354
33772,Normal,218
33772,Excellent,93
33772,Bad,3
33775,Good,559
33775,Excellent,286
33775,Normal,88
33775,Bad,2
33776,Good,1633
33776,Excellent,1387
33776,Normal,349
33776,Bad,6
34243,Excellent,1551
34243,Good,1099
34243,Normal,283
34243,Bad,7
34246,Good,1059
34246,Normal,976
34246,Excellent,465
34246,Bad,38
35032,Good,86
35032,Normal,77
35032,Excellent,64
36547,Excellent,2694
36547,Good,1187
36547,Normal,352
36547,Bad,46
36548,Good,1680
36548,Excellent,1631
36548,Normal,738
36548,Bad,34
75204,Excellent,1029
75204,Good,797
75204,Normal,206
75204,Bad,9
