L3_LoginID,L3_Operator_Performance,L3_Operator_Performance_Count
1805,Good,303
1805,Excellent,262
1805,Normal,83
1805,Bad,2
1985,Excellent,3249
1985,Good,734
1985,Normal,159
1985,Bad,32
2000,Excellent,2
2250,Good,565
2250,Excellent,447
2250,Normal,283
2250,Bad,7
2918,Normal,1772
2918,Good,718
2918,Excellent,441
2918,Bad,47
2927,Excellent,1007
2927,Good,611
2927,Normal,176
2927,Bad,7
3000,Excellent,1
4118,Good,208
4118,Excellent,203
4118,Normal,73
4118,Bad,12
4121,Excellent,647
4121,Good,257
4121,Normal,41
4121,Bad,2
4123,Excellent,3066
4123,Good,1475
4123,Normal,482
4123,Bad,79
4130,Normal,577
4130,Good,353
4130,Excellent,121
4130,Bad,42
4218,Good,1578
4218,Excellent,1180
4218,Normal,891
4218,Bad,3
4226,Excellent,504
4226,Good,180
4226,Normal,37
4226,Bad,13
4227,Excellent,33
4227,Good,12
4227,Normal,3
4227,Bad,2
4228,Good,1183
4228,Excellent,949
4228,Normal,815
4228,Bad,97
4345,Excellent,2
4402,Good,399
4402,Normal,338
4402,Excellent,236
4402,Bad,7
4443,Good,595
4443,Excellent,440
4443,Normal,336
4443,Bad,24
4445,Excellent,76
4445,Good,16
4445,Normal,4
4447,Excellent,2765
4447,Good,1273
4447,Normal,593
4447,Bad,73
4463,Excellent,428
4463,Good,233
4463,Normal,173
4463,Bad,27
4703,Excellent,1815
4703,Good,462
4703,Normal,52
5093,Good,669
5093,Excellent,549
5093,Normal,267
5093,Bad,12
5525,Excellent,1333
5525,Good,834
5525,Normal,364
5525,Bad,116
5531,Excellent,1592
5531,Good,838
5531,Normal,336
5531,Bad,40
5554,Normal,193
5554,Good,192
5554,Excellent,112
5554,Bad,4
5581,Good,448
5581,Excellent,442
5581,Normal,153
5581,Bad,22
5944,Excellent,3546
5944,Good,2434
5944,Normal,975
5944,Bad,170
6320,Good,132
6320,Excellent,94
6320,Normal,56
17905,Excellent,331
17905,Good,281
17905,Normal,85
17905,Bad,7
18183,Excellent,4451
18183,Good,954
18183,Normal,318
18183,Bad,49
19161,Good,1530
19161,Normal,1256
19161,Excellent,724
19161,Bad,31
25432,Good,142
25432,Excellent,88
25432,Normal,25
25432,Bad,1
29525,Excellent,3226
29525,Good,1252
29525,Normal,323
29525,Bad,9
30921,Excellent,1548
30921,Good,536
30921,Normal,132
30921,Bad,7
30925,Excellent,3979
30925,Good,1751
30925,Normal,540
30925,Bad,41
31224,Excellent,4044
31224,Good,756
31224,Normal,273
31224,Bad,44
31225,Excellent,5313
31225,Good,1044
31225,Normal,312
31225,Bad,49
31228,Good,21
31228,Excellent,17
31228,Normal,12
31230,Excellent,2970
31230,Good,1048
31230,Normal,397
31230,Bad,93
31388,Excellent,1401
31388,Good,1395
31388,Normal,626
31388,Bad,103
31859,Normal,1053
31859,Good,910
31859,Excellent,257
31859,Bad,101
31893,Excellent,25
31893,Good,24
31893,Normal,19
31893,Bad,6
32149,Excellent,1674
32149,Good,1126
32149,Normal,1001
32149,Bad,103
32153,Excellent,3012
32153,Good,1290
32153,Normal,426
32153,Bad,3
32399,Excellent,832
32399,Good,480
32399,Normal,139
32399,Bad,21
32401,Excellent,2236
32401,Good,407
32401,Normal,69
32401,Bad,9
32644,Good,1833
32644,Excellent,1752
32644,Normal,750
32644,Bad,16
32646,Excellent,2006
32646,Good,1466
32646,Normal,656
32646,Bad,15
32648,Good,1317
32648,Normal,1305
32648,Excellent,748
32648,Bad,143
32650,Excellent,2268
32650,Good,1773
32650,Normal,657
32650,Bad,74
32651,Excellent,3337
32651,Good,1319
32651,Normal,471
32651,Bad,30
32652,Excellent,4052
32652,Good,339
32652,Normal,79
32652,Bad,7
32654,Excellent,2482
32654,Good,656
32654,Normal,224
32654,Bad,117
32656,Good,125
32656,Excellent,92
32656,Normal,47
32656,Bad,7
32657,Excellent,291
32657,Good,58
32657,Normal,16
32659,Excellent,2404
32659,Good,988
32659,Normal,193
32659,Bad,3
32661,Excellent,2389
32661,Good,1421
32661,Normal,421
32661,Bad,40
32662,Good,182
32662,Excellent,129
32662,Normal,66
32662,Bad,6
32663,Excellent,895
32663,Normal,859
32663,Good,829
32663,Bad,206
32792,Excellent,1369
32792,Good,1359
32792,Normal,594
32792,Bad,107
32797,Good,1181
32797,Excellent,709
32797,Normal,631
32797,Bad,30
32876,Excellent,5584
32876,Good,798
32876,Normal,113
32876,Bad,10
32878,Good,1467
32878,Excellent,1131
